Base License Number,Base Name,DBA,Year,Month,Month Name,Date,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,,
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2020,4,April,April-2020,60,0,3,,
B03138,WST LIMOUSINE LLC,,2020,12,December,December-2020,60,0,6,,
B01318,LOWER EAST SIDE C/S CORP,,2019,10,October,October-2019,1975,0,20,,
B01109,UNITED EXP C/L SVCE,,2016,2,February,February-2016,15129,0,71,,
B03312,ACK TRANSPORTATION CORP.,,2021,10,October,October-2021,1462,0,25,,
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2017,5,May,May-2017,4862,0,23,,
B03052,PROGRESIVE LIMOS INC.,,2019,8,August,August-2019,2377,0,19,,
B02861,ELTRI CAR SERVICE INC,,2018,1,January,January-2018,3105,0,9,,
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2018,1,January,January-2018,3073,0,17,,
B02653,NEW COLLEGE CAR SVCE INC,,2016,11,November,November-2016,16593,0,87,,
B03236,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2021,11,November,November-2021,279,0,19,,
B02298,NYG LIMOUSINE LLC,,2017,11,November,November-2017,745,0,17,,
b00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2016,7,July,July-2016,3407,0,15,,
B02913,DAT TRANSPORTATION INC.,,2020,9,September,September-2020,83,0,5,,
B00457,PREMIUM BRONX CORP,,2016,1,January,January-2016,19122,0,290,,
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2019,4,April,April-2019,472,0,13,,
B01339,R C AUDUBON SVC INC,,2021,4,April,April-2021,5955,0,42,,
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2016,8,August,August-2016,99,0,8,,
B02725,KIRIN TRANSPORTATION INC,,2016,2,February,February-2016,1970,0,34,,
B01424,EAGLE CAR & LIMO LTD.,,2020,9,September,September-2020,62,0,1,,
B02491,CALL THREES LLC,,2020,11,November,November-2020,49,0,2,,
B03117,RELY-ON-US CAR SERVICE INC,,2018,9,September,September-2018,362,0,9,,
B02670,STRIDE TRANSPORTATION INC.,,2019,10,October,October-2019,803,0,42,,
b00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2016,4,April,April-2016,8313,0,31,,
B01336,BAY EXPRESS CORP.,,2020,1,January,January-2020,2449,0,17,,
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,2021,11,November,November-2021,176,0,11,,
B01642,VICTORY CAR & LIMO SERVICE INC.,,2016,7,July,July-2016,3572,0,10,,
B02566,GSL LIMOUSINES CORP.,,2015,6,June,June-2015,359,0,32,,
B00448,DIAL CAR INC.,,2016,3,March,March-2016,12568,0,204,,
B00647,KISS CAR SERVICE INC,,2022,2,February,February-2022,10306,0,60,,
B01739,CITY CAR SERVICE CORP,DIGITAL CAR SERVICE,2017,7,July,July-2017,867,0,8,,
B02929,OTTOMAN TRANSPORTATION INC.,,2021,9,September,September-2021,237,0,6,,
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,2017,11,November,November-2017,5751,0,24,,
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2021,4,April,April-2021,323,0,2,,
B03164,KISS LUXURY TRANSPORTATION INC.,,2020,9,September,September-2020,2854,0,19,,
B01606,LA MEXICANA EXPRESS INC.,,2016,5,May,May-2016,43783,0,149,,
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2016,1,January,January-2016,3002,0,21,,
B03282,HOLY TRANSPORTATION CORP.,,2021,2,February,February-2021,703,0,24,,
B02133,"TWR CAR & LIMO, INC.",,2017,12,December,December-2017,14634,0,157,,
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2018,2,February,February-2018,134,0,15,,
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,2021,8,August,August-2021,417,0,2,,
B03030,Q-FIRST LIMOUSINE CORP.,,2019,4,April,April-2019,168,0,10,,
B02331,"CHICO EXPRESS LIMO, INC.",,2020,5,May,May-2020,1139,0,6,,
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2018,8,August,August-2018,4283,27,20,,
B02803,OUTSIDE'S CAR SERVICE INC.,,2020,4,April,April-2020,5470,0,25,,
B02292,NEW YORK APPLE V.I.P. CORP,,2018,6,June,June-2018,1209,0,7,,
B00350,CHAMPION CAR & LIMO SVC. INC.,,2019,9,September,September-2019,5858,0,42,,
B02379,THE OPTION TRANSPORTATION CORP.,,2019,9,September,September-2019,2038,0,28,,
B03002,"REYNO,INC.",,2017,4,April,April-2017,3320,0,20,,
B01527,NEW FAMILY RAD DISP INC,,2017,2,February,February-2017,7945,0,78,,
B01318,LOWER EAST SIDE C/S CORP,,2016,4,April,April-2016,14418,0,65,,
B02345,WESTCHESTER ACQUISITION CORP.,,2016,4,April,April-2016,3422,0,92,,
B02920,AMAZING CAR AND LIMO SERVICE INC,,2020,1,January,January-2020,1160,0,6,,
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2022,3,March,March-2022,17,0,3,,
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2017,6,June,June-2017,1895,0,77,,
B01553,CITY LINE CAR SERVICE INC,,2017,6,June,June-2017,10580,0,55,,
B03012,MEGA LIMO SERVICES INC.,,2017,9,September,September-2017,2586,0,18,,
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2021,12,December,December-2021,1010,0,10,,
B00987,MARLBORO CAR SERVICE INC.,,2019,1,January,January-2019,3248,0,13,,
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2015,11,November,November-2015,845,0,22,,
B01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,2017,12,December,December-2017,1498,0,8,,
B01362,AMERICAN BASE NO.1 INC.,,2017,3,March,March-2017,20089,0,119,,
B01339,R C AUDUBON SVC INC,,2020,8,August,August-2020,6966,0,50,,
B02207,"EASTERN LUXURY, INC.",,2015,12,December,December-2015,310,0,98,,
B01197,"TEL-A-CAR OF NEW YORK, LLC",,2021,5,May,May-2021,161,0,46,,
B00387,FORTUNE LIMOUSINES INC,,2020,4,April,April-2020,10,0,2,,
B01437,MERENGUE LIMO & C/S INC,,2021,5,May,May-2021,18171,0,93,,
B01678,"G.T.N.Y. CAR SERVICE, INC.",,2019,1,January,January-2019,315,0,16,,
B02997,KALUMA TRANSPORTATION GROUP INC.,,2018,11,November,November-2018,88,0,18,,
B02144,"SILVER STAR LIMOUSINES, INC.",,2021,9,September,September-2021,184,0,4,,
B01875,ON LINE LIMOUSINE LLC,,2019,10,October,October-2019,707,0,17,,
B02435,"TEINETCO, INC",,2017,9,September,September-2017,194,0,14,,
B01452,AREAS TRANSP INC,,2019,5,May,May-2019,3447,0,12,,
B03156,EPIC CAR SERVICE INC.,,2019,12,December,December-2019,2498,0,32,,
